team_A,team_B,team_A_win_percentage,team_A_points_per_game,team_A_assists_per_game,team_A_rebounds_per_game,team_A_top_player_points,team_B_win_percentage,team_B_points_per_game,team_B_assists_per_game,team_B_rebounds_per_game,team_B_top_player_points,match_outcome
Houston Rockets,Boston Celtics,0.5,8.829411764705881,1.8352941176470587,0.08744396867439636,21.1,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0
Boston Celtics,Los Angeles Lakers,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0.573170731707317,7.247619047619047,1.8142857142857143,0.06413881824977902,25.7,1
Los Angeles Lakers,Boston Celtics,0.573170731707317,7.247619047619047,1.8142857142857143,0.06413881824977902,25.7,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0
Boston Celtics,Chicago Bulls,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0.47560975609756095,8.961111111111112,1.8277777777777777,0.1395530087603578,24.0,1
Chicago Bulls,Boston Celtics,0.47560975609756095,8.961111111111112,1.8277777777777777,0.1395530087603578,24.0,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0
Boston Celtics,Atlanta Hawks,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0.43902439024390244,9.205263157894738,2.110526315789474,0.12178512087843403,25.7,1
Atlanta Hawks,Boston Celtics,0.43902439024390244,9.205263157894738,2.110526315789474,0.12178512087843403,25.7,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0
Boston Celtics,Brooklyn Nets,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0.3902439024390244,8.295238095238094,2.2523809523809524,0.16488751333965257,22.5,1
Brooklyn Nets,Boston Celtics,0.3902439024390244,8.295238095238094,2.2523809523809524,0.16488751333965257,22.5,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0
Boston Celtics,Utah Jazz,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0.3780487804878049,9.257142857142858,2.238095238095238,0.18481518313808962,23.2,1
Utah Jazz,Boston Celtics,0.3780487804878049,9.257142857142858,2.238095238095238,0.18481518313808962,23.2,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0
Boston Celtics,San Antonio Spurs,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0.2682926829268293,8.254999999999999,2.175,0.1986114676308637,21.4,1
San Antonio Spurs,Boston Celtics,0.2682926829268293,8.254999999999999,2.175,0.1986114676308637,21.4,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0
Boston Celtics,Toronto Raptors,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0.3048780487804878,8.266666666666667,2.26,0.2235251983794762,22.2,1
Toronto Raptors,Boston Celtics,0.3048780487804878,8.266666666666667,2.26,0.2235251983794762,22.2,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0
Boston Celtics,Memphis Grizzlies,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0.32926829268292684,8.60909090909091,2.272727272727273,0.3106344996609543,25.1,1
Memphis Grizzlies,Boston Celtics,0.32926829268292684,8.60909090909091,2.272727272727273,0.3106344996609543,25.1,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0
Boston Celtics,Detroit Pistons,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0.17073170731707318,8.329032258064515,1.738709677419355,0.20662565067620373,22.7,1
Detroit Pistons,Boston Celtics,0.17073170731707318,8.329032258064515,1.738709677419355,0.20662565067620373,22.7,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0
Boston Celtics,Washington Wizards,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0.18292682926829268,7.804166666666667,1.8166666666666667,0.13853091718655472,22.2,1
Washington Wizards,Boston Celtics,0.18292682926829268,7.804166666666667,1.8166666666666667,0.13853091718655472,22.2,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0
Boston Celtics,Portland Trail Blazers,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0.25609756097560976,8.94090909090909,2.0954545454545457,0.1701576367731579,22.6,1
Portland Trail Blazers,Boston Celtics,0.25609756097560976,8.94090909090909,2.0954545454545457,0.1701576367731579,22.6,0.7804878048780488,8.526315789473685,1.8894736842105262,0.09449434281608951,26.9,0
Oklahoma City Thunder,Minnesota Timberwolves,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0.6829268292682927,7.5,1.7684210526315791,0.05827216523917665,25.9,1
Minnesota Timberwolves,Oklahoma City Thunder,0.6829268292682927,7.5,1.7684210526315791,0.05827216523917665,25.9,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0
Oklahoma City Thunder,Denver Nuggets,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0.6951219512195121,8.041176470588235,2.0823529411764703,0.053260308128585676,26.4,0
Denver Nuggets,Oklahoma City Thunder,0.6951219512195121,8.041176470588235,2.0823529411764703,0.053260308128585676,26.4,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0
Oklahoma City Thunder,New York Knicks,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0.6097560975609756,7.438461538461539,1.4692307692307693,0.10607225206359261,28.7,1
New York Knicks,Oklahoma City Thunder,0.6097560975609756,7.438461538461539,1.4692307692307693,0.10607225206359261,28.7,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0
Oklahoma City Thunder,New Orleans Pelicans,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0.5975609756097561,7.75,1.795,0.21184419864332046,22.9,1
New Orleans Pelicans,Oklahoma City Thunder,0.5975609756097561,7.75,1.795,0.21184419864332046,22.9,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0
Oklahoma City Thunder,Los Angeles Clippers,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0.6219512195121951,7.647619047619047,1.8095238095238095,0.18931934342032375,23.7,1
Los Angeles Clippers,Oklahoma City Thunder,0.6219512195121951,7.647619047619047,1.8095238095238095,0.18931934342032375,23.7,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0
Oklahoma City Thunder,Philadelphia 76ers,0.6951219512195121,6.886363636363637,1.7045454545454546,0.07083927787042298,30.1,0.573170731707317,7.2821428571428575,1.717857142857143,0.22017285390689878,34.7,1
