Player,Team,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jordan Hawkins,New Orleans Pelicans,SG,67,17.3,2.6,6.8,0.382,1.6,4.4,0.366,1.0,1.2,0.838,0.4,1.8,2.2,1.0,0.3,0.1,0.6,1.1,7.8
Royce O'Neale,,SF,79,24.7,2.7,6.8,0.397,2.0,5.3,0.37,0.3,0.4,0.686,0.8,4.0,4.8,2.8,0.7,0.6,0.9,2.2,7.7
Royce O'Neale,Brooklyn Nets,SF,49,24.5,2.6,6.6,0.388,2.0,5.4,0.366,0.3,0.4,0.682,0.8,3.7,4.5,2.8,0.7,0.6,1.0,2.4,7.4
Royce O'Neale,Phoenix Suns,SF,30,25.1,2.9,7.1,0.411,2.0,5.2,0.376,0.3,0.4,0.692,0.7,4.5,5.2,2.7,0.9,0.5,0.7,1.8,8.1
RaiQuan Gray,San Antonio Spurs,PF,3,13.0,3.3,5.7,0.588,1.0,2.3,0.429,0.0,0.0,,0.7,1.7,2.3,2.0,0.3,0.3,0.3,0.0,7.7
Nikola Jovic,Miami Heat,PF,46,19.5,2.8,6.1,0.452,1.4,3.5,0.399,0.7,1.0,0.702,0.5,3.6,4.2,2.0,0.5,0.3,0.9,1.8,7.7
Precious Achiuwa,,PF,74,21.9,3.2,6.3,0.501,0.4,1.3,0.268,0.9,1.5,0.616,2.6,4.0,6.6,1.3,0.6,0.9,1.1,1.9,7.6
Precious Achiuwa,Toronto Raptors,C,25,17.5,3.1,6.8,0.459,0.5,1.9,0.277,1.0,1.7,0.571,2.0,3.4,5.4,1.8,0.6,0.5,1.2,1.6,7.7
Precious Achiuwa,New York Knicks,PF,49,24.2,3.2,6.1,0.525,0.3,1.0,0.26,0.9,1.4,0.643,2.9,4.3,7.2,1.1,0.6,1.1,1.1,2.1,7.6
Toumani Camara,Portland Trail Blazers,PF,70,24.8,2.8,6.3,0.45,0.8,2.5,0.337,1.1,1.4,0.758,2.0,2.9,4.9,1.2,0.9,0.5,1.2,2.5,7.5
Cody Martin,,SF,28,26.9,2.9,7.7,0.381,1.0,3.1,0.314,0.7,1.2,0.606,0.7,3.2,3.9,3.7,1.1,0.6,1.6,1.7,7.5
Brice Sensabaugh,Utah Jazz,SF,32,18.3,2.7,6.8,0.39,1.1,3.6,0.296,1.2,1.3,0.902,0.5,2.7,3.2,1.7,0.4,0.2,1.5,1.3,7.5
Cameron Payne,,PG,78,16.7,2.7,6.2,0.432,1.3,3.4,0.39,0.7,0.9,0.866,0.3,1.2,1.5,2.6,0.5,0.1,0.8,1.6,7.4
Cameron Payne,Milwaukee Bucks,PG,47,14.9,2.1,4.7,0.455,1.1,2.8,0.397,0.8,0.9,0.841,0.1,1.2,1.3,2.3,0.5,0.1,0.7,1.6,6.2
Cameron Payne,Philadelphia 76ers,PG,31,19.4,3.5,8.4,0.413,1.7,4.4,0.382,0.7,0.7,0.913,0.5,1.3,1.8,3.1,0.6,0.3,1.1,1.7,9.3
Christian Braun,Denver Nuggets,SG,82,20.2,2.7,5.9,0.46,0.8,2.0,0.384,1.1,1.6,0.694,1.0,2.8,3.7,1.6,0.5,0.4,0.7,1.7,7.3
Jaden Hardy,Dallas Mavericks,SG,73,13.5,2.7,6.6,0.407,1.1,3.1,0.362,0.8,1.0,0.776,0.3,1.5,1.8,1.5,0.3,0.1,0.8,1.1,7.3
Taylor Hendricks,Utah Jazz,PF,40,21.4,2.7,6.0,0.45,1.3,3.5,0.379,0.6,0.7,0.793,1.2,3.5,4.6,0.8,0.7,0.8,0.7,1.9,7.3
Paul Reed,Philadelphia 76ers,C,82,19.4,3.2,5.9,0.54,0.3,0.7,0.368,0.7,1.0,0.718,2.4,3.6,6.0,1.3,0.8,1.0,0.8,2.4,7.3
Lamar Stevens,,PF,38,14.7,2.8,6.3,0.45,0.4,1.2,0.304,1.1,1.4,0.778,0.9,2.4,3.3,0.7,0.6,0.6,0.6,1.2,7.2
Lamar Stevens,Boston Celtics,PF,19,6.4,1.1,2.4,0.467,0.2,0.4,0.375,0.4,0.6,0.727,0.6,1.0,1.6,0.4,0.3,0.3,0.5,0.7,2.8
Lamar Stevens,Memphis Grizzlies,PF,19,23.0,4.6,10.3,0.446,0.6,2.0,0.289,1.8,2.3,0.791,1.3,3.8,5.1,1.1,0.9,0.9,0.8,1.6,11.5
Johnny Juzang,Utah Jazz,SG,20,18.6,2.6,5.5,0.464,1.6,3.9,0.416,0.5,0.7,0.714,0.4,1.5,1.8,1.2,0.2,0.1,0.7,1.5,7.2
Kevin Knox,Detroit Pistons,SF,31,18.1,2.8,6.0,0.462,1.0,3.0,0.33,0.6,0.7,0.909,0.6,1.8,2.4,0.7,0.4,0.2,0.7,1.6,7.2
Trey Lyles,Sacramento Kings,PF,58,20.0,2.5,5.5,0.445,1.4,3.8,0.384,0.8,1.2,0.7,1.1,3.4,4.4,1.2,0.3,0.3,0.7,1.5,7.2
Jose Alvarado,New Orleans Pelicans,PG,56,18.4,2.5,6.2,0.412,1.4,3.7,0.377,0.6,0.9,0.673,0.4,1.8,2.3,2.1,1.1,0.3,0.7,1.6,7.1
Naji Marshall,New Orleans Pelicans,SF,66,19.0,2.6,5.6,0.463,0.9,2.3,0.387,1.0,1.3,0.791,0.8,2.8,3.6,1.9,0.7,0.2,1.0,1.4,7.1
Landry Shamet,Washington Wizards,SG,46,15.8,2.6,6.0,0.431,1.2,3.4,0.338,0.8,1.0,0.826,0.3,1.0,1.3,1.2,0.5,0.2,0.7,1.7,7.1
James Wiseman,Detroit Pistons,C,63,17.3,3.0,4.8,0.613,0.0,0.0,0.0,1.1,1.6,0.706,1.7,3.6,5.3,0.9,0.2,0.6,1.0,2.2,7.1
Vasilije Micic,,PG,60,19.6,2.7,6.2,0.43,0.7,2.6,0.279,1.0,1.3,0.813,0.2,1.2,1.5,4.4,0.5,0.1,1.7,1.1,7.0
Vasilije Micic,Oklahoma City Thunder,PG,30,12.0,1.2,3.0,0.407,0.4,1.5,0.244,0.5,0.6,0.737,0.0,0.8,0.8,2.5,0.3,0.1,1.0,0.7,3.3
Vasilije Micic,,PG,30,27.2,4.1,9.3,0.437,1.1,3.6,0.294,1.6,1.9,0.839,0.4,1.7,2.1,6.2,0.7,0.1,2.3,1.5,10.8
Jordan Nwora,,SF,52,13.7,2.7,5.8,0.462,0.8,2.5,0.336,0.8,1.0,0.83,0.5,2.3,2.9,1.2,0.5,0.3,1.0,0.9,7.0
Jordan Nwora,Indiana Pacers,SF,18,10.2,2.1,4.6,0.451,0.6,2.0,0.306,0.5,0.6,0.818,0.4,1.4,1.8,1.0,0.3,0.1,0.7,1.1,5.2
Jordan Nwora,Toronto Raptors,SF,34,15.6,3.0,6.4,0.465,1.0,2.8,0.347,1.0,1.2,0.833,0.6,2.8,3.4,1.3,0.6,0.4,1.2,0.9,7.9
Quentin Grimes,,SG,51,20.1,2.4,6.4,0.372,1.6,4.7,0.338,0.7,0.9,0.756,0.3,1.7,2.0,1.3,0.7,0.1,0.5,1.5,7.0
Quentin Grimes,New York Knicks,SG,45,20.2,2.5,6.4,0.395,1.7,4.7,0.363,0.5,0.8,0.706,0.3,1.6,2.0,1.2,0.7,0.1,0.5,1.5,7.3
Quentin Grimes,Detroit Pistons,SG,6,19.2,1.5,7.0,0.214,0.7,4.7,0.143,1.7,1.8,0.909,0.2,1.8,2.0,2.3,0.8,0.7,1.2,1.5,5.3
Javon Freeman-Liberty,Toronto Raptors,PG,22,18.3,2.5,5.6,0.444,0.5,1.9,0.238,1.5,1.6,0.917,0.7,2.5,3.2,1.8,0.5,0.2,1.1,1.3,7.0
Evan Fournier,,SG,32,18.1,2.5,6.9,0.357,1.0,4.1,0.254,0.9,1.1,0.806,0.2,1.7,1.8,1.5,0.9,0.2,0.7,1.5,6.9
Evan Fournier,New York Knicks,SG,3,13.0,1.3,6.7,0.2,0.7,5.0,0.133,0.7,0.7,1.0,0.0,1.3,1.3,1.0,1.3,0.0,0.3,1.3,4.0
Evan Fournier,Detroit Pistons,SG,29,18.7,2.6,6.9,0.373,1.1,4.0,0.27,0.9,1.2,0.794,0.2,1.7,1.9,1.6,0.9,0.2,0.7,1.5,7.2
Gary Harris,Orlando Magic,SG,54,24.0,2.4,5.5,0.441,1.4,3.8,0.371,0.6,0.8,0.756,0.4,1.2,1.7,1.6,0.9,0.3,0.6,1.7,6.9
Killian Hayes,Detroit Pistons,PG,42,24.0,2.8,6.7,0.413,0.5,1.8,0.297,0.8,1.2,0.66,0.3,2.6,2.8,4.9,0.9,0.5,1.2,1.8,6.9
Bones Hyland,Los Angeles Clippers,PG,37,14.6,2.6,6.8,0.386,1.2,3.6,0.326,0.5,0.6,0.783,0.1,1.4,1.5,2.5,0.7,0.1,1.2,1.4,6.9
Maozinha Pereira,Memphis Grizzlies,SF,7,17.4,2.6,5.0,0.514,0.7,1.9,0.385,1.0,1.4,0.7,1.6,3.7,5.3,0.3,0.9,0.6,0.7,1.4,6.9
Trendon Watford,Brooklyn Nets,PF,63,13.6,2.6,4.9,0.527,0.4,1.1,0.397,1.2,1.5,0.794,0.8,2.3,3.1,1.3,0.4,0.3,1.0,1.7,6.9
Aaron Wiggins,Oklahoma City Thunder,SG,78,15.7,2.7,4.8,0.562,0.8,1.6,0.492,0.7,0.9,0.789,0.8,1.6,2.4,1.1,0.7,0.2,0.7,1.2,6.9
Christian Wood,Los Angeles Lakers,PF,50,17.4,2.5,5.3,0.466,0.7,2.3,0.307,1.3,1.9,0.702,0.8,4.3,5.1,1.0,0.3,0.7,1.0,1.4,6.9
Trey Jemison,,C,25,22.9,3.0,5.4,0.551,0.0,0.0,,0.8,1.0,0.84,2.6,2.8,5.4,1.1,0.5,1.1,1.4,2.8,6.8
Trey Jemison,Washington Wizards,C,2,0.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0
Trey Jemison,Memphis Grizzlies,C,23,24.9,3.3,5.9,0.551,0.0,0.0,,0.9,1.1,0.84,2.8,3.0,5.8,1.2,0.5,1.2,1.4,3.0,7.4
Julian Champagnie,San Antonio Spurs,SF,74,19.8,2.2,5.4,0.408,1.4,3.7,0.365,1.0,1.2,0.815,0.6,2.2,2.8,1.4,0.6,0.6,0.8,1.0,6.8
Jonathan Isaac,Orlando Magic,PF,58,15.8,2.5,4.9,0.51,0.7,1.9,0.375,1.0,1.4,0.72,1.3,3.2,4.5,0.5,0.7,1.2,0.5,1.1,6.8
Cedi Osman,San Antonio Spurs,SF,72,17.6,2.6,5.3,0.479,1.2,3.1,0.389,0.5,0.7,0.673,0.3,2.2,2.5,1.7,0.5,0.2,0.7,1.5,6.8
Day'Ron Sharpe,Brooklyn Nets,C,61,15.1,2.8,4.8,0.571,0.1,0.2,0.267,1.2,2.0,0.61,2.6,3.7,6.4,1.4,0.4,0.7,1.1,2.1,6.8
Cason Wallace,Oklahoma City Thunder,SG,82,20.6,2.6,5.4,0.491,1.2,2.9,0.419,0.4,0.5,0.784,0.6,1.6,2.3,1.5,0.9,0.5,0.5,1.6,6.8
Robert Williams,Portland Trail Blazers,C,6,19.8,2.8,4.3,0.654,0.0,0.0,,1.2,1.5,0.778,1.8,4.5,6.3,0.8,1.2,1.2,1.2,2.8,6.8
Davis Bertans,,PF,43,15.7,2.1,5.4,0.393,1.8,4.7,0.38,0.7,0.8,0.909,0.2,1.2,1.4,0.8,0.6,0.3,0.4,1.3,6.7
Davis Bertans,Oklahoma City Thunder,PF,15,6.1,0.7,1.7,0.385,0.7,1.6,0.417,0.9,1.0,0.933,0.1,0.5,0.7,0.6,0.2,0.2,0.1,0.7,2.9
Davis Bertans,,PF,28,20.8,2.9,7.4,0.394,2.4,6.3,0.375,0.6,0.6,0.889,0.3,1.6,1.8,0.9,0.8,0.3,0.6,1.6,8.8
Jahmi'us Ramsey,Toronto Raptors,SG,7,17.3,2.6,5.9,0.439,0.9,3.1,0.273,0.7,0.9,0.833,0.6,2.6,3.1,1.1,1.0,0.0,1.0,1.4,6.7
Peyton Watson,Denver Nuggets,SF,80,18.6,2.6,5.6,0.465,0.6,1.9,0.296,0.9,1.3,0.67,0.7,2.5,3.2,1.1,0.5,1.1,0.7,1.8,6.7
Amir Coffey,Los Angeles Clippers,SF,70,20.9,2.4,5.0,0.472,1.0,2.6,0.38,0.9,1.0,0.859,0.4,1.7,2.1,1.1,0.6,0.2,0.5,1.5,6.6
Aaron Holiday,Houston Rockets,PG,78,16.3,2.4,5.3,0.446,1.1,2.8,0.387,0.7,0.8,0.921,0.3,1.3,1.6,1.8,0.5,0.1,0.7,1.6,6.6
Dennis Smith Jr.,Brooklyn Nets,PG,56,18.9,2.6,6.0,0.435,0.6,1.9,0.294,0.8,1.0,0.741,0.9,2.0,2.9,3.6,1.2,0.2,1.2,2.2,6.6
Chimezie Metu,,C,51,16.8,2.4,4.8,0.504,0.5,1.8,0.298,1.1,1.3,0.906,0.8,3.0,3.8,0.9,0.8,0.3,1.0,1.4,6.5
Chimezie Metu,Phoenix Suns,C,37,12.1,1.8,3.5,0.508,0.4,1.4,0.294,1.0,1.2,0.884,0.6,2.3,3.0,0.5,0.5,0.2,0.7,1.1,5.0
Chimezie Metu,Detroit Pistons,C,14,29.4,4.1,8.1,0.5,0.9,3.1,0.302,1.4,1.5,0.952,1.2,4.8,6.0,1.9,1.7,0.5,1.8,2.3,10.5
Jordan Goodwin,,PG,57,18.5,2.5,6.7,0.369,0.7,2.5,0.298,0.8,1.0,0.746,1.5,2.9,4.4,2.7,0.8,0.3,1.0,1.3,6.5
Jordan Goodwin,Phoenix Suns,PG,40,14.0,1.9,4.8,0.389,0.6,2.0,0.288,0.6,0.7,0.862,1.0,1.9,2.9,2.0,0.6,0.2,0.7,1.1,5.0
Jordan Goodwin,Memphis Grizzlies,PG,17,29.2,3.9,11.1,0.349,1.1,3.6,0.311,1.1,1.8,0.633,2.8,5.2,8.0,4.5,1.5,0.5,1.6,1.9,10.0
David Roddy,,PF,65,18.1,2.5,6.3,0.403,0.7,2.5,0.293,0.7,1.0,0.691,0.8,2.4,3.2,1.2,0.4,0.2,0.9,1.1,6.5
David Roddy,Memphis Grizzlies,PF,48,23.2,3.2,8.0,0.402,1.0,3.3,0.301,1.0,1.4,0.687,1.1,3.1,4.2,1.6,0.5,0.2,1.1,1.4,8.4
David Roddy,Phoenix Suns,PF,17,3.7,0.6,1.4,0.435,0.1,0.5,0.125,0.1,0.1,1.0,0.1,0.5,0.6,0.2,0.1,0.0,0.2,0.2,1.3
David Duke Jr.,San Antonio Spurs,SG,4,12.8,2.5,4.5,0.556,0.8,1.5,0.5,0.8,0.8,1.0,0.5,2.0,2.5,1.3,0.5,0.0,0.8,1.0,6.5
Jeff Green,Houston Rockets,PF,78,16.8,2.1,4.7,0.456,0.7,2.1,0.331,1.6,1.9,0.819,0.6,1.7,2.3,0.9,0.2,0.4,0.6,1.3,6.5
Isaiah Jackson,Indiana Pacers,C,59,13.1,2.6,3.9,0.665,0.0,0.1,0.0,1.2,1.7,0.716,1.6,2.4,4.0,0.8,0.6,1.0,0.7,2.3,6.5
Marcus Morris,,PF,49,16.7,2.4,5.4,0.439,1.0,2.4,0.403,0.7,0.9,0.818,0.5,2.3,2.7,0.7,0.3,0.3,0.6,1.5,6.4
Marcus Morris,Philadelphia 76ers,PF,37,17.2,2.4,5.5,0.439,1.0,2.4,0.4,0.8,1.0,0.861,0.5,2.5,2.9,0.7,0.4,0.3,0.5,1.6,6.7
Marcus Morris,Cleveland Cavaliers,PF,12,15.0,2.2,4.9,0.441,1.0,2.4,0.414,0.4,0.7,0.625,0.4,1.7,2.1,0.8,0.2,0.2,0.9,1.1,5.8
Kyle Anderson,Minnesota Timberwolves,PF,79,22.6,2.5,5.5,0.46,0.1,0.6,0.229,1.2,1.7,0.708,0.8,2.7,3.5,4.2,0.9,0.6,1.2,1.6,6.4
Chris Boucher,Toronto Raptors,PF,50,14.1,2.2,4.3,0.507,0.6,1.9,0.33,1.4,1.8,0.772,1.2,2.9,4.1,0.5,0.3,0.5,0.6,1.4,6.4
Jared Butler,Washington Wizards,SG,40,14.2,2.5,5.0,0.488,0.6,2.0,0.308,0.8,0.9,0.861,0.2,1.2,1.5,3.2,0.7,0.2,1.3,1.5,6.3
Bruno Fernando,Atlanta Hawks,C,45,15.2,2.4,4.2,0.583,0.0,0.1,0.0,1.4,2.1,0.667,1.3,3.0,4.3,1.0,0.6,0.6,1.0,2.4,6.3
Daniel Theis,,C,60,16.9,2.6,4.9,0.532,0.4,1.2,0.366,0.6,0.8,0.76,1.4,2.7,4.1,1.0,0.4,0.9,0.7,2.1,6.3
Daniel Theis,Indiana Pacers,C,1,8.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Daniel Theis,Los Angeles Clippers,C,59,17.1,2.6,4.9,0.536,0.4,1.2,0.371,0.6,0.8,0.76,1.4,2.7,4.1,1.0,0.4,0.9,0.7,2.1,6.3
Jaylen Nowell,,SG,13,16.5,2.6,6.0,0.436,0.5,2.2,0.207,0.5,0.7,0.778,0.5,1.4,1.8,1.5,0.3,0.2,0.5,1.2,6.2
Jaylen Nowell,Memphis Grizzlies,SG,9,17.3,2.4,6.1,0.4,0.4,2.6,0.174,0.3,0.3,1.0,0.3,1.2,1.6,1.8,0.3,0.0,0.6,1.4,5.7
Jaylen Nowell,Detroit Pistons,SG,4,14.5,3.0,5.8,0.522,0.5,1.5,0.333,1.0,1.5,0.667,0.8,1.8,2.5,0.8,0.3,0.5,0.5,0.5,7.5
Patrick Beverley,,PG,73,20.0,2.2,5.2,0.417,0.8,2.5,0.337,1.0,1.2,0.822,0.7,2.6,3.3,2.9,0.6,0.4,0.9,1.8,6.2
Patrick Beverley,Philadelphia 76ers,PG,47,19.6,2.2,5.1,0.432,0.7,2.3,0.321,1.1,1.3,0.81,0.6,2.4,3.1,3.1,0.5,0.4,1.0,1.8,6.3
Patrick Beverley,Milwaukee Bucks,PG,26,20.9,2.1,5.3,0.391,1.0,2.8,0.361,0.9,1.0,0.852,0.7,2.9,3.6,2.6,0.7,0.5,0.6,1.7,6.0
Jae Crowder,Milwaukee Bucks,PF,50,23.1,2.3,5.4,0.422,1.2,3.3,0.349,0.5,0.7,0.722,0.6,2.6,3.2,1.3,0.8,0.2,0.5,1.5,6.2
Keon Johnson,Brooklyn Nets,SG,5,12.2,1.6,4.2,0.381,0.8,2.0,0.4,2.2,2.4,0.917,0.6,0.8,1.4,0.6,0.6,0.2,1.0,1.0,6.2
Haywood Highsmith,Miami Heat,PF,66,20.7,2.3,5.0,0.465,1.2,2.9,0.396,0.3,0.5,0.639,1.0,2.2,3.2,1.1,0.8,0.5,0.5,1.8,6.1
Vit Krejci,Atlanta Hawks,PG,22,24.6,2.3,4.7,0.49,1.3,3.1,0.412,0.2,0.3,0.833,0.5,1.9,2.4,2.3,0.6,0.3,0.9,2.2,6.1
Kris Murray,Portland Trail Blazers,SF,62,21.7,2.3,5.9,0.396,0.8,3.0,0.268,0.6,0.9,0.661,1.4,2.2,3.6,1.3,0.9,0.3,0.9,1.5,6.1
Ben Simmons,Brooklyn Nets,PG,15,23.9,2.9,4.9,0.581,0.0,0.0,,0.4,1.0,0.4,2.1,5.9,7.9,5.7,0.8,0.6,1.8,2.4,6.1
Zavier Simpson,Memphis Grizzlies,PG,7,23.0,2.4,7.7,0.315,0.7,2.4,0.294,0.4,0.6,0.75,0.6,2.3,2.9,3.6,1.0,0.4,1.4,1.6,6.0
Tosan Evbuomwan,,SF,17,21.6,2.1,4.2,0.507,0.7,1.9,0.375,1.0,1.5,0.68,1.1,2.5,3.5,0.9,0.4,0.3,0.5,1.4,5.9
Tosan Evbuomwan,Memphis Grizzlies,SF,4,18.5,1.0,3.8,0.267,0.5,2.0,0.25,0.0,0.0,,2.0,1.5,3.5,1.5,0.0,0.3,0.3,1.3,2.5
Tosan Evbuomwan,Detroit Pistons,SF,13,22.5,2.5,4.3,0.571,0.8,1.8,0.417,1.3,1.9,0.68,0.8,2.8,3.5,0.8,0.5,0.3,0.6,1.4,7.0
Justin Champagnie,Washington Wizards,SF,15,15.7,2.1,5.2,0.41,0.9,3.0,0.289,0.8,1.0,0.8,1.3,2.3,3.5,1.3,0.7,0.6,0.7,0.9,5.9
Nick Smith Jr.,,SG,51,14.3,2.2,5.7,0.391,1.2,2.9,0.432,0.3,0.3,0.867,0.4,1.1,1.4,1.2,0.2,0.1,0.8,1.1,5.9
Ochai Agbaji,,SG,78,21.0,2.3,5.6,0.411,0.8,2.7,0.294,0.5,0.7,0.661,0.9,1.8,2.8,1.1,0.6,0.6,0.8,1.5,5.8
Ochai Agbaji,Utah Jazz,SG,51,19.7,2.1,4.9,0.426,0.9,2.8,0.331,0.3,0.4,0.75,0.7,1.8,2.5,0.9,0.5,0.6,0.7,1.3,5.4
Ochai Agbaji,Toronto Raptors,SG,27,23.6,2.7,6.8,0.391,0.6,2.6,0.217,0.8,1.3,0.611,1.4,1.9,3.3,1.3,0.7,0.6,1.1,1.9,6.7
Noah Clowney,Brooklyn Nets,PF,23,16.1,2.2,4.0,0.538,0.5,1.4,0.364,0.9,1.3,0.7,1.1,2.4,3.5,0.8,0.3,0.7,0.7,1.1,5.8
Dyson Daniels,New Orleans Pelicans,PG,61,22.3,2.3,5.1,0.447,0.7,2.2,0.311,0.6,0.9,0.642,1.0,2.9,3.9,2.7,1.4,0.4,1.0,1.7,5.8
Danilo Gallinari,,SF,49,12.9,1.7,3.9,0.437,0.6,1.9,0.323,1.7,2.0,0.857,0.4,1.8,2.2,1.1,0.3,0.1,0.5,1.0,5.7
Danilo Gallinari,Washington Wizards,PF,26,14.8,2.2,5.0,0.435,0.8,2.5,0.313,1.8,2.2,0.839,0.5,2.5,2.9,1.2,0.2,0.1,0.5,1.0,7.0
Danilo Gallinari,Detroit Pistons,SF,6,15.0,2.0,3.7,0.545,1.2,2.0,0.583,3.5,4.0,0.875,0.3,2.0,2.3,2.0,0.3,0.3,0.2,1.5,8.7
Danilo Gallinari,Milwaukee Bucks,SF,17,9.1,0.8,2.2,0.378,0.2,1.0,0.176,0.9,1.1,0.889,0.4,0.7,1.1,0.7,0.4,0.1,0.6,0.9,2.8
Thomas Bryant,Miami Heat,C,38,11.6,2.3,3.9,0.577,0.1,0.6,0.182,1.1,1.2,0.872,1.1,2.7,3.7,0.6,0.3,0.4,0.6,1.2,5.7
Torrey Craig,Chicago Bulls,SF,53,19.8,2.0,4.7,0.43,1.1,2.9,0.392,0.5,0.7,0.75,1.3,2.8,4.1,1.1,0.6,0.4,0.6,2.1,5.7
Larry Nance Jr.,New Orleans Pelicans,C,61,19.9,2.3,4.0,0.573,0.4,1.1,0.415,0.8,1.0,0.77,1.5,3.5,5.0,1.9,1.0,0.3,0.8,1.6,5.7
Pat Connaughton,Milwaukee Bucks,SF,76,22.1,2.0,4.6,0.435,1.1,3.1,0.345,0.6,0.8,0.759,0.7,2.5,3.1,2.1,0.5,0.3,0.6,1.3,5.6
Craig Porter Jr.,Cleveland Cavaliers,PG,51,12.7,2.3,4.5,0.509,0.2,0.7,0.353,0.8,1.1,0.732,0.4,1.7,2.1,2.3,0.4,0.3,0.9,0.8,5.6
Mitchell Robinson,New York Knicks,C,31,24.8,2.4,4.1,0.575,0.0,0.0,,0.9,2.1,0.409,4.6,3.9,8.5,0.6,1.2,1.1,0.8,1.8,5.6
Malachi Flynn,,PG,69,12.7,2.0,4.7,0.418,0.8,2.4,0.331,0.8,1.0,0.732,0.3,1.3,1.7,1.9,0.6,0.1,0.9,1.0,5.5
Malachi Flynn,Toronto Raptors,PG,31,15.3,1.8,4.4,0.409,0.9,2.6,0.35,0.5,0.7,0.773,0.4,1.7,2.1,2.4,0.6,0.2,1.1,1.4,5.1
Malachi Flynn,New York Knicks,PG,14,4.3,0.6,1.6,0.391,0.3,0.9,0.308,0.6,0.8,0.818,0.0,0.4,0.4,0.4,0.1,0.0,0.2,0.2,2.2
Malachi Flynn,Detroit Pistons,PG,24,14.3,3.0,6.9,0.43,1.0,3.2,0.316,1.1,1.6,0.684,0.3,1.5,1.8,2.1,0.8,0.1,1.1,0.9,8.0
Doug McDermott,,SF,64,14.1,1.9,4.4,0.433,1.5,3.6,0.41,0.2,0.3,0.579,0.2,0.8,0.9,1.1,0.3,0.0,0.4,1.0,5.5
Doug McDermott,San Antonio Spurs,SF,46,15.2,2.1,4.7,0.442,1.7,3.8,0.439,0.2,0.4,0.588,0.2,0.9,1.0,1.2,0.2,0.0,0.5,1.0,6.0
Doug McDermott,Indiana Pacers,SF,18,11.3,1.6,3.8,0.406,1.0,3.1,0.321,0.1,0.1,0.5,0.1,0.5,0.6,0.7,0.3,0.0,0.2,0.9,4.2
Dexter Dennis,Dallas Mavericks,SG,4,7.5,2.5,4.8,0.526,0.3,2.0,0.125,0.3,0.8,0.333,0.3,2.0,2.3,1.0,0.0,0.3,0.8,0.3,5.5
Gary Payton II,Golden State Warriors,SG,44,15.5,2.3,4.2,0.563,0.5,1.3,0.364,0.3,0.5,0.609,1.0,1.5,2.6,1.1,0.9,0.4,0.6,1.8,5.5
Neemias Queta,Boston Celtics,C,28,11.9,2.4,3.7,0.644,0.0,0.0,,0.7,1.0,0.714,1.9,2.5,4.4,0.7,0.5,0.8,0.5,1.8,5.5
Ricky Council IV,Philadelphia 76ers,SG,32,9.0,1.7,3.5,0.482,0.4,1.0,0.375,1.7,2.2,0.746,0.4,1.0,1.4,0.5,0.3,0.0,0.2,0.5,5.4
Kris Dunn,Utah Jazz,PG,66,18.9,2.2,4.7,0.47,0.6,1.7,0.369,0.3,0.5,0.688,0.8,2.1,2.9,3.8,1.0,0.4,1.2,2.0,5.4
Keon Ellis,Sacramento Kings,SG,57,17.2,1.9,4.1,0.461,1.2,2.9,0.417,0.5,0.6,0.743,0.6,1.6,2.2,1.5,0.9,0.5,0.6,2.0,5.4
Cam Reddish,Los Angeles Lakers,SF,48,20.5,1.9,4.9,0.389,0.8,2.3,0.336,0.9,1.1,0.759,0.6,1.5,2.1,1.0,1.0,0.3,0.6,1.3,5.4
Matt Ryan,New Orleans Pelicans,SF,28,13.9,1.8,4.0,0.434,1.5,3.3,0.451,0.5,0.5,0.929,0.2,1.2,1.4,0.6,0.2,0.0,0.7,1.1,5.4
Matisse Thybulle,Portland Trail Blazers,SF,65,22.9,1.9,4.9,0.397,1.2,3.6,0.346,0.3,0.4,0.759,0.5,1.6,2.1,1.4,1.7,0.8,0.6,1.4,5.4
Sasha Vezenkov,Sacramento Kings,PF,42,12.2,2.0,4.5,0.44,1.1,2.9,0.375,0.3,0.4,0.8,0.7,1.6,2.3,0.5,0.5,0.2,0.3,1.0,5.4
Dean Wade,Cleveland Cavaliers,PF,54,20.5,1.8,4.3,0.414,1.5,3.7,0.391,0.4,0.5,0.769,0.7,3.4,4.0,0.8,0.7,0.5,0.4,1.7,5.4
Darius Bazley,,PF,9,16.9,2.0,3.3,0.6,0.2,0.9,0.25,1.1,1.3,0.833,0.9,2.2,3.1,0.8,0.7,0.8,0.9,0.3,5.3
Darius Bazley,Philadelphia 76ers,PF,3,3.3,0.0,0.3,0.0,0.0,0.0,,0.0,0.0,,0.0,0.3,0.3,0.7,0.0,0.0,0.3,0.0,0.0
Darius Bazley,Utah Jazz,PF,6,23.7,3.0,4.8,0.621,0.3,1.3,0.25,1.7,2.0,0.833,1.3,3.2,4.5,0.8,1.0,1.2,1.2,0.5,8.0
