Player,Team,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jamal Murray,Denver Nuggets,PG,59,31.5,8.0,16.7,0.481,2.5,5.8,0.425,2.7,3.1,0.853,0.7,3.4,4.1,6.5,1.0,0.7,2.1,1.8,21.2
Alperen Sengun,Houston Rockets,C,63,32.5,8.4,15.6,0.537,0.5,1.8,0.297,3.9,5.6,0.693,2.9,6.4,9.3,5.0,1.2,0.7,2.6,3.3,21.1
Miles Bridges,,SF,69,37.4,8.1,17.5,0.462,2.3,6.5,0.349,2.5,3.1,0.825,1.0,6.3,7.3,3.3,0.9,0.5,2.0,1.7,21.0
Jerami Grant,Portland Trail Blazers,PF,54,33.9,7.1,15.7,0.451,2.1,5.1,0.402,4.7,5.8,0.817,0.7,2.9,3.5,2.8,0.8,0.6,2.1,2.2,21.0
Jimmy Butler,Miami Heat,PF,60,34.0,6.6,13.2,0.499,1.0,2.4,0.414,6.6,7.7,0.858,1.8,3.6,5.3,5.0,1.3,0.3,1.7,1.1,20.8
Tyler Herro,Miami Heat,SG,42,33.5,7.7,17.5,0.441,3.1,7.9,0.396,2.3,2.6,0.856,0.5,4.8,5.3,4.5,0.7,0.1,2.2,1.5,20.8
Brandon Ingram,New Orleans Pelicans,SF,64,32.9,7.8,15.9,0.492,1.3,3.8,0.355,3.8,4.8,0.801,0.7,4.4,5.1,5.7,0.8,0.6,2.5,2.3,20.8
RJ Barrett,,SG,58,31.7,7.5,15.2,0.495,1.6,4.3,0.36,3.6,5.0,0.715,0.9,4.5,5.4,3.3,0.5,0.4,2.2,2.2,20.2
RJ Barrett,New York Knicks,SG,26,29.5,6.3,14.9,0.423,1.7,5.0,0.331,4.0,4.8,0.831,0.7,3.5,4.3,2.4,0.5,0.3,1.8,1.7,18.2
RJ Barrett,Toronto Raptors,SG,32,33.5,8.5,15.4,0.553,1.5,3.8,0.392,3.3,5.2,0.629,1.1,5.3,6.4,4.1,0.6,0.4,2.5,2.6,21.8
Tyrese Haliburton,Indiana Pacers,PG,69,32.2,7.2,15.2,0.477,2.8,7.8,0.364,2.8,3.3,0.855,0.5,3.4,3.9,10.9,1.2,0.7,2.3,1.1,20.1
Kristaps Porzingis,Boston Celtics,C,57,29.6,6.8,13.2,0.516,1.9,5.1,0.375,4.5,5.3,0.858,1.7,5.5,7.2,2.0,0.7,1.9,1.6,2.7,20.1
CJ McCollum,New Orleans Pelicans,PG,66,32.7,7.3,16.0,0.459,3.6,8.4,0.429,1.7,2.1,0.827,0.6,3.7,4.3,4.6,0.9,0.6,1.7,1.9,20.0
Scottie Barnes,Toronto Raptors,SG,60,34.9,7.5,15.7,0.475,1.7,4.9,0.341,3.3,4.2,0.781,2.4,5.9,8.2,6.1,1.3,1.5,2.8,2.0,19.9
Terry Rozier,,SG,61,33.4,7.2,16.4,0.443,2.4,6.7,0.363,2.8,3.2,0.869,0.6,3.5,4.0,5.6,1.0,0.3,1.7,1.7,19.8
Terry Rozier,,SG,30,35.5,8.4,18.3,0.459,2.8,7.7,0.358,3.6,4.3,0.845,0.6,3.3,3.9,6.6,1.1,0.4,2.2,1.7,23.2
Terry Rozier,Miami Heat,PG,31,31.5,6.1,14.5,0.423,2.1,5.7,0.371,2.0,2.2,0.913,0.6,3.6,4.2,4.6,1.0,0.3,1.3,1.6,16.4
