id,player,team,position,games_played,minutes_per_game,field_goals_made,field_goals_attempted,field_goal_percentage,three_pointers_made,three_pointers_attempted,three_point_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,personal_fouls_per_game,points_per_game,wins,losses,margin_of_victory,offensive_rating,defensive_rating,net_rating,true_shooting_percentage,team_points_per_game,win_percentage,match_outcome,rebounds_per_game,player_impact
32,Anfernee Simons,Portland Trail Blazers,SG,46,34.4,7.8,18.2,0.43,3.4,8.8,0.385,3.5,3.9,0.916,0.5,3.2,3.6,5.5,0.5,0.1,2.7,2.1,22.6,21,61,-9.02,108.3,117.5,-9.2,0.539,196.7,0.25609756097560976,1,0.04390243902439025,0.1430803377682989
33,Jaren Jackson Jr.,Memphis Grizzlies,C,66,32.2,7.8,17.6,0.444,1.8,5.5,0.32,5.1,6.3,0.808,1.3,4.2,5.5,2.3,1.2,1.6,2.4,3.6,22.5,27,55,-7.0,107.2,114.3,-7.1,0.543,284.1,0.32926829268292684,1,0.06707317073170732,0.08752929662348365
34,Dejounte Murray,Atlanta Hawks,SG,78,35.7,8.6,18.8,0.459,2.6,7.1,0.363,2.7,3.4,0.794,0.8,4.5,5.3,6.4,1.4,0.3,2.6,1.8,22.5,36,46,-2.18,117.2,119.4,-2.2,0.576,174.9,0.43902439024390244,1,0.06463414634146342,0.16560682759486256
35,Cam Thomas,Brooklyn Nets,SG,66,31.4,8.0,18.0,0.442,2.2,6.0,0.364,4.3,5.1,0.856,0.4,2.8,3.2,2.9,0.7,0.2,1.9,2.1,22.5,32,50,-2.89,113.2,116.1,-2.9,0.561,174.2,0.3902439024390244,1,0.03902439024390244,0.146033435076027
36,Kyle Kuzma,Washington Wizards,PF,70,32.6,8.7,18.8,0.463,2.2,6.4,0.336,2.7,3.4,0.775,0.9,5.7,6.6,4.2,0.5,0.7,2.7,2.2,22.2,15,67,-9.29,110.5,119.6,-9.1,0.567,187.3,0.18292682926829268,1,0.08048780487804878,0.14138007370463454
37,Karl-Anthony Towns,Minnesota Timberwolves,PF,62,32.7,7.7,15.3,0.504,2.2,5.3,0.416,4.1,4.7,0.873,1.5,6.8,8.3,3.0,0.7,0.7,2.9,3.3,21.8,56,26,6.45,115.6,109.0,6.6,0.594,142.5,0.6829268292682927,1,0.10121951219512196,0.17474540008557982
39,Pascal Siakam,Toronto Raptors,PF,39,34.7,8.3,16.0,0.522,1.2,3.7,0.317,4.3,5.7,0.758,1.4,4.9,6.3,4.9,0.8,0.3,2.1,2.2,22.2,25,57,-6.44,112.3,118.8,-6.5,0.566,248.0,0.3048780487804878,1,0.07682926829268293,0.10958398898505115
40,Pascal Siakam,Indiana Pacers,PF,41,31.8,8.7,15.8,0.549,1.0,2.5,0.386,3.0,4.2,0.699,2.1,5.7,7.8,3.7,0.8,0.4,1.4,2.6,21.3,47,35,3.05,121.0,118.0,3.0,0.606,183.1,0.573170731707317,1,0.0951219512195122,0.13705691944958773
41,Victor Wembanyama,San Antonio Spurs,C,71,29.7,7.8,16.7,0.465,1.8,5.5,0.325,4.1,5.2,0.796,2.3,8.4,10.6,3.9,1.2,3.6,3.7,2.2,21.4,22,60,-6.49,110.0,116.4,-6.4,0.563,165.1,0.2682926829268293,1,0.12926829268292683,0.1540234299980795
42,Jamal Murray,Denver Nuggets,PG,59,31.5,8.0,16.7,0.481,2.5,5.8,0.425,2.7,3.1,0.853,0.7,3.4,4.1,6.5,1.0,0.7,2.1,1.8,21.2,57,25,5.26,118.5,113.0,5.5,0.589,136.7,0.6951219512195121,1,0.049999999999999996,0.20299926847110464
