id,player,team,position,games_played,minutes_per_game,field_goals_made,field_goals_attempted,field_goal_percentage,three_pointers_made,three_pointers_attempted,three_point_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,personal_fouls_per_game,points_per_game,wins,losses,margin_of_victory,offensive_rating,defensive_rating,net_rating,true_shooting_percentage,team_points_per_game,win_percentage,match_outcome,rebounds_per_game,player_impact
181,Luke Kennard,Memphis Grizzlies,SG,39,25.6,3.6,8.1,0.448,2.7,6.1,0.45,1.0,1.2,0.889,0.3,2.6,2.9,3.5,0.5,0.1,1.4,1.0,11.0,27,55,-7.0,107.2,114.3,-7.1,0.543,284.1,0.32926829268292684,1,0.03536585365853658,0.05116285059365905
182,Luguentz Dort,Oklahoma City Thunder,SF,79,28.4,3.6,8.3,0.438,2.0,5.0,0.394,1.6,2.0,0.826,0.9,2.7,3.6,1.4,0.9,0.6,0.9,2.9,10.9,57,25,7.41,119.5,112.1,7.4,0.608,151.5,0.6951219512195121,1,0.04390243902439025,0.08147790388794977
183,Jusuf Nurkic,Phoenix Suns,C,76,27.3,4.2,8.3,0.51,0.3,1.2,0.244,2.2,3.4,0.64,2.9,8.1,11.0,4.0,1.1,1.1,2.3,3.3,10.9,49,33,3.06,117.6,114.6,3.0,0.603,164.5,0.5975609756097561,1,0.13414634146341464,0.09139298687819705
184,Isaiah Stewart,Detroit Pistons,PF,46,30.9,4.0,8.3,0.487,1.5,3.8,0.383,1.4,1.8,0.753,1.6,5.0,6.6,1.6,0.4,0.8,1.4,2.2,10.9,14,68,-9.11,109.7,118.8,-9.1,0.562,258.2,0.17073170731707318,1,0.08048780487804878,0.04872381024352459
185,Moritz Wagner,Orlando Magic,C,80,17.7,4.2,6.9,0.601,0.5,1.4,0.33,2.1,2.6,0.814,1.5,2.9,4.3,1.2,0.5,0.3,1.2,2.0,10.9,47,35,2.02,113.4,111.3,2.1,0.577,138.1,0.573170731707317,1,0.0524390243902439,0.08799738612882146
187,Bruce Brown,Indiana Pacers,SG,33,29.7,4.5,9.5,0.475,1.0,3.1,0.327,2.0,2.5,0.817,0.8,3.9,4.7,3.0,1.1,0.2,1.2,2.5,12.1,47,35,3.05,121.0,118.0,3.0,0.606,183.1,0.573170731707317,1,0.05731707317073171,0.08278163338706025
188,Bruce Brown,Toronto Raptors,PG,34,26.0,3.8,7.9,0.481,0.6,1.9,0.317,1.5,1.8,0.833,0.8,3.0,3.8,2.7,0.7,0.3,1.3,2.0,9.6,25,57,-6.44,112.3,118.8,-6.5,0.566,248.0,0.3048780487804878,1,0.046341463414634146,0.04978363493312353
189,Jake LaRavia,Memphis Grizzlies,PF,35,23.0,3.4,8.7,0.389,1.5,4.5,0.34,2.6,3.1,0.826,1.5,2.2,3.7,1.7,0.8,0.3,1.3,2.0,10.8,27,55,-7.0,107.2,114.3,-7.1,0.543,284.1,0.32926829268292684,1,0.0451219512195122,0.04415741623097329
190,Santi Aldama,Memphis Grizzlies,PF,61,26.5,4.0,9.3,0.435,1.7,5.0,0.349,0.9,1.4,0.621,1.2,4.6,5.8,2.3,0.7,0.9,1.1,1.5,10.7,27,55,-7.0,107.2,114.3,-7.1,0.543,284.1,0.32926829268292684,1,0.07073170731707316,0.04600750336964826
192,Simone Fontecchio,Utah Jazz,SF,50,23.2,3.2,7.2,0.45,1.8,4.7,0.391,0.6,0.8,0.8,1.0,2.5,3.5,1.5,0.6,0.4,1.0,1.6,8.9,31,51,-4.89,115.5,120.4,-4.9,0.579,194.4,0.3780487804878049,1,0.042682926829268296,0.05371750476764027
193,Simone Fontecchio,Detroit Pistons,SF,16,30.3,5.7,11.9,0.479,2.7,6.3,0.426,1.4,1.6,0.846,0.8,3.6,4.4,1.8,0.9,0.3,1.1,1.8,15.4,14,68,-9.11,109.7,118.8,-9.1,0.562,258.2,0.17073170731707318,1,0.05365853658536586,0.06682284483572953
195,Spencer Dinwiddie,Brooklyn Nets,PG,48,30.7,4.1,10.4,0.391,1.9,5.8,0.32,2.6,3.3,0.781,0.5,2.8,3.3,6.0,0.8,0.2,1.3,1.8,12.6,32,50,-2.89,113.2,116.1,-2.9,0.561,174.2,0.3902439024390244,1,0.04024390243902439,0.10700484444568902
196,Spencer Dinwiddie,Los Angeles Lakers,PG,28,24.2,2.0,5.0,0.397,1.3,3.2,0.389,1.6,1.8,0.88,0.1,1.5,1.7,2.4,0.5,0.5,1.0,1.9,6.8,47,35,0.6,115.9,115.3,0.6,0.601,152.2,0.573170731707317,1,0.020731707317073172,0.06058299413480338
197,Jaden McDaniels,Minnesota Timberwolves,SF,72,29.2,4.3,8.7,0.489,1.2,3.5,0.337,0.8,1.1,0.722,0.8,2.3,3.1,1.4,0.9,0.6,1.2,3.0,10.5,56,26,6.45,115.6,109.0,6.6,0.594,142.5,0.6829268292682927,1,0.03780487804878049,0.08377406931964056
199,Alec Burks,Detroit Pistons,SG,43,21.0,3.7,9.4,0.394,2.3,5.7,0.401,2.8,3.1,0.903,0.4,2.2,2.6,1.6,0.5,0.3,0.7,1.5,12.6,14,68,-9.11,109.7,118.8,-9.1,0.562,258.2,0.17073170731707318,1,0.03170731707317073,0.055118928416240005
200,Alec Burks,New York Knicks,SG,23,13.5,2.2,7.1,0.307,1.1,3.6,0.301,1.0,1.4,0.727,0.3,1.4,1.7,0.9,0.3,0.0,0.7,0.5,6.5,50,32,4.59,118.2,113.4,4.8,0.574,193.4,0.6097560975609756,1,0.020731707317073172,0.038369864050243396
202,Dalano Banton,Boston Celtics,PG,24,7.1,0.8,2.1,0.373,0.1,0.7,0.125,0.7,0.8,0.8,0.5,1.0,1.5,0.8,0.2,0.1,0.4,0.8,2.3,64,18,11.34,123.2,111.6,11.6,0.609,162.0,0.7804878048780488,1,0.018292682926829267,0.019248720264980423
203,Dalano Banton,Portland Trail Blazers,PG,30,29.2,6.1,15.0,0.408,1.9,6.1,0.311,2.6,3.3,0.78,1.0,3.8,4.8,3.6,0.9,0.6,2.2,1.5,16.7,21,61,-9.02,108.3,117.5,-9.2,0.539,196.7,0.25609756097560976,1,0.058536585365853655,0.10350044018996368
205,Grant Williams,Dallas Mavericks,PF,47,26.4,2.8,6.7,0.413,1.7,4.5,0.376,0.9,1.2,0.745,1.0,2.6,3.6,1.7,0.5,0.6,1.1,2.9,8.1,50,32,2.21,117.6,115.4,2.2,0.592,186.4,0.6097560975609756,1,0.04390243902439025,0.052810635402491354
207,Obi Toppin,Indiana Pacers,PF,82,21.1,4.0,7.1,0.573,1.2,3.1,0.403,0.9,1.2,0.77,1.0,2.9,3.9,1.6,0.6,0.5,0.8,1.7,10.3,47,35,3.05,121.0,118.0,3.0,0.606,183.1,0.573170731707317,1,0.0475609756097561,0.06525156185477748
208,Kevin Huerter,Sacramento Kings,SG,64,24.4,3.9,8.8,0.443,1.9,5.3,0.361,0.6,0.7,0.766,0.6,2.9,3.5,2.6,0.7,0.4,0.8,2.1,10.2,46,36,1.74,116.9,115.2,1.7,0.582,142.7,0.5609756097560976,1,0.042682926829268296,0.0899977780436529
209,Reggie Jackson,Denver Nuggets,PG,82,22.2,4.0,9.2,0.431,1.2,3.5,0.359,1.0,1.2,0.806,0.4,1.5,1.9,3.8,0.5,0.2,1.3,1.8,10.2,57,25,5.26,118.5,113.0,5.5,0.589,136.7,0.6951219512195121,1,0.023170731707317073,0.10258354595250416
210,T.J. McConnell,Indiana Pacers,PG,71,18.2,4.6,8.4,0.556,0.3,0.6,0.409,0.7,0.9,0.79,0.5,2.2,2.7,5.5,1.0,0.1,1.5,1.1,10.2,47,35,3.05,121.0,118.0,3.0,0.606,183.1,0.573170731707317,1,0.032926829268292684,0.08592532402658816
211,Onyeka Okongwu,Atlanta Hawks,C,55,25.5,4.1,6.6,0.611,0.4,1.3,0.333,1.7,2.1,0.793,2.6,4.2,6.8,1.3,0.5,1.1,0.8,2.9,10.2,36,46,-2.18,117.2,119.4,-2.2,0.576,174.9,0.43902439024390244,1,0.08292682926829269,0.06622599673681127
212,Kentavious Caldwell-Pope,Denver Nuggets,SG,76,31.6,3.6,7.7,0.46,1.6,4.1,0.406,1.3,1.5,0.894,0.4,2.0,2.4,2.4,1.3,0.6,1.0,2.0,10.1,57,25,5.26,118.5,113.0,5.5,0.589,136.7,0.6951219512195121,1,0.029268292682926828,0.09165521794208432
213,Alex Caruso,Chicago Bulls,SG,71,28.7,3.6,7.6,0.468,1.9,4.7,0.408,1.0,1.4,0.76,0.9,3.0,3.8,3.5,1.7,1.0,1.4,2.5,10.1,39,43,-1.44,114.9,116.3,-1.4,0.568,161.3,0.47560975609756095,1,0.046341463414634146,0.08460224093871441
214,Talen Horton-Tucker,Utah Jazz,PG,51,19.8,3.6,9.1,0.396,1.2,3.6,0.33,1.7,2.1,0.807,0.4,2.0,2.4,3.5,0.9,0.4,1.3,1.8,10.1,31,51,-4.89,115.5,120.4,-4.9,0.579,194.4,0.3780487804878049,1,0.029268292682926828,0.07010940479775168
215,Tre Jones,San Antonio Spurs,PG,77,27.8,3.9,7.8,0.505,0.8,2.5,0.335,1.3,1.5,0.856,0.8,3.0,3.8,6.2,1.0,0.1,1.5,1.2,10.0,22,60,-6.49,110.0,116.4,-6.4,0.563,165.1,0.2682926829268293,1,0.046341463414634146,0.098403037331403
216,Caleb Martin,Miami Heat,SF,64,27.4,3.8,8.7,0.431,1.3,3.6,0.349,1.2,1.5,0.778,1.2,3.2,4.4,2.2,0.7,0.5,1.2,2.0,10.0,46,36,1.76,114.0,112.2,1.8,0.578,184.8,0.5609756097560976,1,0.05365853658536586,0.06630767606377361
217,Patrick Williams,Chicago Bulls,PF,43,27.3,3.7,8.3,0.443,1.4,3.4,0.399,1.2,1.5,0.788,1.1,2.8,3.9,1.5,0.9,0.8,1.3,2.0,10.0,39,43,-1.44,114.9,116.3,-1.4,0.568,161.3,0.47560975609756095,1,0.0475609756097561,0.07159058261382364
218,Vince Williams Jr.,Memphis Grizzlies,SG,52,27.6,3.3,7.3,0.446,1.5,4.0,0.378,2.0,2.5,0.8,1.1,4.4,5.6,3.4,0.9,0.7,1.8,2.6,10.0,27,55,-7.0,107.2,114.3,-7.1,0.543,284.1,0.32926829268292684,1,0.06829268292682926,0.04740687322395927
219,Josh Richardson,Miami Heat,SG,43,25.7,3.6,8.1,0.444,1.5,4.4,0.347,1.2,1.3,0.944,0.4,2.4,2.8,2.4,0.6,0.3,0.8,1.8,9.9,46,36,1.76,114.0,112.2,1.8,0.578,184.8,0.5609756097560976,1,0.03414634146341463,0.06674321613346003
220,Jalen Smith,Indiana Pacers,C,61,17.2,3.8,6.5,0.592,1.0,2.4,0.424,1.2,1.7,0.692,1.8,3.7,5.5,1.0,0.3,0.6,0.7,2.0,9.9,47,35,3.05,121.0,118.0,3.0,0.606,183.1,0.573170731707317,1,0.06707317073170732,0.059896631189140945
223,Gordon Hayward,Oklahoma City Thunder,SF,26,17.2,1.8,4.1,0.453,0.6,1.1,0.517,1.0,1.5,0.692,0.5,2.0,2.5,1.6,0.5,0.0,0.6,0.8,5.3,57,25,7.41,119.5,112.1,7.4,0.608,151.5,0.6951219512195121,1,0.03048780487804878,0.045745794091604286
225,Kelly Olynyk,Utah Jazz,C,50,20.4,2.9,5.2,0.562,0.7,1.7,0.429,1.6,1.9,0.842,1.3,3.8,5.1,4.4,0.7,0.2,1.6,2.6,8.1,31,51,-4.89,115.5,120.4,-4.9,0.579,194.4,0.3780487804878049,1,0.062195121951219505,0.06462034527752684
226,Kelly Olynyk,Toronto Raptors,C,28,26.4,4.7,8.5,0.548,0.9,2.5,0.338,2.5,3.0,0.824,1.6,4.0,5.6,4.6,1.3,0.6,2.5,3.5,12.7,25,57,-6.44,112.3,118.8,-6.5,0.566,248.0,0.3048780487804878,1,0.06829268292682926,0.07003343823760816
227,Tari Eason,Houston Rockets,PF,22,21.8,4.0,8.6,0.466,0.8,2.3,0.36,1.0,1.5,0.636,2.1,4.9,7.0,1.2,1.4,0.9,0.9,2.3,9.8,41,41,1.12,114.5,113.4,1.1,0.565,150.1,0.5,1,0.08536585365853659,0.07385320355535335
229,Lonnie Walker IV,Brooklyn Nets,SG,58,17.4,3.6,8.5,0.423,1.8,4.7,0.384,0.8,1.0,0.763,0.2,2.0,2.2,1.3,0.6,0.3,0.9,1.2,9.7,32,50,-2.89,113.2,116.1,-2.9,0.561,174.2,0.3902439024390244,1,0.02682926829268293,0.06329982358376972
230,Payton Pritchard,Boston Celtics,PG,82,22.3,3.6,7.7,0.468,1.8,4.7,0.385,0.6,0.7,0.821,0.9,2.4,3.2,3.4,0.5,0.1,0.7,1.3,9.6,64,18,11.34,123.2,111.6,11.6,0.609,162.0,0.7804878048780488,1,0.03902439024390244,0.08048780487804878
231,Amen Thompson,Houston Rockets,SF,62,22.4,3.9,7.2,0.536,0.1,0.9,0.138,1.7,2.5,0.684,2.4,4.2,6.6,2.6,1.3,0.6,1.5,2.3,9.5,41,41,1.12,114.5,113.4,1.1,0.565,150.1,0.5,1,0.08048780487804878,0.08114915259745535
232,Josh Hart,New York Knicks,SF,81,33.4,3.6,8.4,0.434,1.0,3.2,0.31,1.1,1.4,0.791,1.6,6.8,8.3,4.1,0.9,0.3,1.5,2.1,9.4,50,32,4.59,118.2,113.4,4.8,0.574,193.4,0.6097560975609756,1,0.10121951219512196,0.07032688475798926
233,Georges Niang,Cleveland Cavaliers,PF,82,22.3,3.5,7.7,0.449,1.8,4.8,0.376,0.6,0.7,0.85,0.3,3.1,3.4,1.2,0.4,0.2,0.9,2.3,9.4,48,34,2.41,115.2,112.7,2.5,0.586,160.0,0.5853658536585366,1,0.041463414634146344,0.0665091463414634
234,Isaac Okoro,Cleveland Cavaliers,SF,69,27.3,3.4,7.0,0.49,1.2,3.1,0.391,1.3,2.0,0.679,1.0,2.0,3.0,1.9,0.8,0.5,0.8,2.0,9.4,48,34,2.41,115.2,112.7,2.5,0.586,160.0,0.5853658536585366,1,0.036585365853658534,0.07085365853658537
236,Tre Mann,Oklahoma City Thunder,PG,13,9.2,1.5,3.1,0.5,0.6,1.5,0.421,0.1,0.1,1.0,0.3,1.5,1.8,1.5,0.2,0.0,0.7,0.2,3.8,57,25,7.41,119.5,112.1,7.4,0.608,151.5,0.6951219512195121,1,0.021951219512195124,0.035128390887869274
238,Malaki Branham,San Antonio Spurs,PG,75,21.3,3.6,8.4,0.432,1.2,3.6,0.347,0.7,0.8,0.873,0.4,1.6,2.0,2.1,0.4,0.1,1.2,1.3,9.2,22,60,-6.49,110.0,116.4,-6.4,0.563,165.1,0.2682926829268293,1,0.024390243902439025,0.06859109778257079
239,Andrew Nembhard,Indiana Pacers,PG,68,25.0,3.8,7.7,0.498,0.9,2.5,0.357,0.7,0.8,0.804,0.5,1.5,2.1,4.1,0.9,0.1,1.5,2.1,9.2,47,35,3.05,121.0,118.0,3.0,0.606,183.1,0.573170731707317,1,0.025609756097560978,0.07277777037737608
240,Chris Paul,Golden State Warriors,PG,58,26.4,3.6,8.1,0.441,1.3,3.6,0.371,0.7,0.9,0.827,0.3,3.6,3.9,6.8,1.2,0.1,1.3,1.9,9.2,46,36,2.61,117.8,115.2,2.6,0.586,147.6,0.5609756097560976,1,0.0475609756097561,0.10872331284288453
241,Brandin Podziemski,Golden State Warriors,SG,74,26.6,3.7,8.1,0.454,1.2,3.2,0.385,0.7,1.1,0.633,1.6,4.2,5.8,3.7,0.8,0.2,1.2,1.6,9.2,46,36,2.61,117.8,115.2,2.6,0.586,147.6,0.5609756097560976,1,0.07073170731707316,0.08787758609293408
242,Duop Reath,Portland Trail Blazers,C,68,17.9,3.4,7.3,0.461,1.3,3.6,0.359,1.0,1.4,0.742,1.4,2.3,3.7,1.0,0.5,0.6,0.8,2.4,9.1,21,61,-9.02,108.3,117.5,-9.2,0.539,196.7,0.25609756097560976,1,0.0451219512195122,0.051576624052971594
243,Sam Hauser,Boston Celtics,SF,79,22.0,3.2,7.1,0.446,2.5,5.9,0.424,0.2,0.2,0.895,0.6,2.9,3.5,1.0,0.5,0.3,0.4,1.3,9.0,64,18,11.34,123.2,111.6,11.6,0.609,162.0,0.7804878048780488,1,0.042682926829268296,0.06199186991869919
244,Taurean Prince,Los Angeles Lakers,PF,78,27.0,3.2,7.3,0.442,1.8,4.6,0.396,0.6,0.9,0.735,0.3,2.7,2.9,1.5,0.7,0.4,0.9,1.9,8.9,47,35,0.6,115.9,115.3,0.6,0.601,152.2,0.573170731707317,1,0.03536585365853658,0.06856350757988526
245,Jabari Walker,Portland Trail Blazers,SF,72,23.6,3.3,7.1,0.46,0.6,1.9,0.295,1.8,2.4,0.754,2.1,5.0,7.1,1.0,0.6,0.3,0.9,2.4,8.9,21,61,-9.02,108.3,117.5,-9.2,0.539,196.7,0.25609756097560976,1,0.08658536585365853,0.050770642429352614
246,Dereck Lively II,Dallas Mavericks,C,55,23.5,4.0,5.4,0.747,0.0,0.0,0.0,0.7,1.5,0.506,2.5,4.4,6.9,1.1,0.7,1.4,0.9,2.6,8.8,50,32,2.21,117.6,115.4,2.2,0.592,186.4,0.6097560975609756,1,0.08414634146341464,0.0535630168533445
247,Kevin Love,Miami Heat,PF,55,16.8,2.9,6.5,0.44,1.5,4.4,0.344,1.5,2.0,0.787,1.1,5.1,6.1,2.1,0.3,0.2,0.9,1.8,8.8,46,36,1.76,114.0,112.2,1.8,0.578,184.8,0.5609756097560976,1,0.07439024390243902,0.059385228592545664
248,Terance Mann,Los Angeles Clippers,SG,75,25.0,3.4,6.6,0.515,0.9,2.7,0.348,1.1,1.3,0.832,1.2,2.2,3.4,1.6,0.6,0.2,0.6,1.9,8.8,51,31,3.28,118.8,115.4,3.4,0.599,160.6,0.6219512195121951,1,0.041463414634146344,0.0650153388208851
249,Ausar Thompson,Detroit Pistons,SF,63,25.1,3.7,7.6,0.483,0.3,1.8,0.186,1.1,1.9,0.597,2.0,4.3,6.4,1.9,1.1,0.9,1.3,2.8,8.8,14,68,-9.11,109.7,118.8,-9.1,0.562,258.2,0.17073170731707318,1,0.07804878048780488,0.041743023936823415
250,Draymond Green,Golden State Warriors,PF,55,27.1,3.4,6.8,0.497,0.9,2.3,0.395,1.0,1.3,0.73,1.4,5.9,7.2,6.0,1.0,0.9,2.5,3.0,8.6,46,36,2.61,117.8,115.2,2.6,0.586,147.6,0.5609756097560976,1,0.0878048780487805,0.09951087315751206
251,Al Horford,Boston Celtics,C,65,26.8,3.3,6.4,0.511,1.7,4.0,0.419,0.4,0.5,0.867,1.3,5.1,6.4,2.6,0.6,1.0,0.7,1.4,8.6,64,18,11.34,123.2,111.6,11.6,0.609,162.0,0.7804878048780488,1,0.07804878048780488,0.06961758506473953
252,Derrick Jones Jr.,Dallas Mavericks,SF,76,23.5,3.1,6.5,0.483,1.1,3.1,0.343,1.3,1.8,0.713,1.1,2.2,3.3,1.0,0.7,0.7,0.9,1.6,8.6,50,32,2.21,117.6,115.4,2.2,0.592,186.4,0.6097560975609756,1,0.04024390243902439,0.05171804668690464
253,Gradey Dick,Toronto Raptors,SG,60,21.1,3.2,7.4,0.425,1.5,4.0,0.365,0.7,0.9,0.863,0.5,1.8,2.2,1.1,0.6,0.0,0.8,1.5,8.5,25,57,-6.44,112.3,118.8,-6.5,0.566,248.0,0.3048780487804878,1,0.02682926829268293,0.03881785995279308
254,Dorian Finney-Smith,Brooklyn Nets,PF,68,28.4,3.2,7.5,0.421,1.7,4.9,0.348,0.5,0.7,0.717,1.6,3.1,4.7,1.6,0.8,0.6,0.9,2.2,8.5,32,50,-2.89,113.2,116.1,-2.9,0.561,174.2,0.3902439024390244,1,0.05731707317073171,0.05830836436952199
255,Tristan Vukcevic,Washington Wizards,C,10,15.3,2.9,6.7,0.433,1.0,3.6,0.278,1.7,2.2,0.773,0.6,3.0,3.6,1.3,0.5,0.7,1.0,2.8,8.5,15,67,-9.29,110.5,119.6,-9.1,0.567,187.3,0.18292682926829268,1,0.04390243902439025,0.05255687367338169
256,Bilal Coulibaly,Washington Wizards,SF,63,27.2,3.0,6.9,0.435,1.0,2.9,0.346,1.5,2.1,0.702,0.9,3.2,4.1,1.7,0.9,0.8,1.4,2.2,8.4,15,67,-9.29,110.5,119.6,-9.1,0.567,187.3,0.18292682926829268,1,0.049999999999999996,0.05419113721302723
257,Andre Drummond,Chicago Bulls,C,79,17.1,3.4,6.1,0.556,0.0,0.0,0.0,1.6,2.8,0.592,3.4,5.6,9.0,0.5,0.9,0.6,1.0,1.8,8.4,39,43,-1.44,114.9,116.3,-1.4,0.568,161.3,0.47560975609756095,1,0.10975609756097561,0.05585713637669544
258,Miles McBride,New York Knicks,PG,68,19.5,3.0,6.7,0.452,1.6,3.9,0.41,0.6,0.7,0.86,0.5,1.0,1.5,1.7,0.7,0.1,0.4,1.6,8.3,50,32,4.59,118.2,113.4,4.8,0.574,193.4,0.6097560975609756,1,0.018292682926829267,0.051800892879663024
259,Marcus Sasser,Detroit Pistons,PG,71,19.0,3.1,7.2,0.428,1.3,3.4,0.375,0.8,0.9,0.879,0.2,1.6,1.8,3.3,0.6,0.2,1.3,1.5,8.3,14,68,-9.11,109.7,118.8,-9.1,0.562,258.2,0.17073170731707318,1,0.021951219512195124,0.04501142997487295
260,Josh Green,Dallas Mavericks,SG,57,26.4,3.1,6.6,0.479,1.3,3.3,0.385,0.7,1.0,0.684,0.7,2.5,3.2,2.3,0.8,0.2,1.1,1.9,8.2,50,32,2.21,117.6,115.4,2.2,0.592,186.4,0.6097560975609756,1,0.03902439024390244,0.056539830419763425
261,Isaiah Joe,Oklahoma City Thunder,SG,78,18.5,2.8,6.2,0.458,1.9,4.5,0.416,0.6,0.7,0.865,0.4,1.9,2.3,1.3,0.6,0.3,0.6,1.1,8.2,57,25,7.41,119.5,112.1,7.4,0.608,151.5,0.6951219512195121,1,0.028048780487804875,0.06289141109232874
262,Ziaire Williams,Memphis Grizzlies,SF,51,20.4,2.9,7.4,0.397,1.1,3.7,0.307,1.2,1.5,0.827,0.7,2.8,3.5,1.5,0.7,0.2,1.3,1.7,8.2,27,55,-7.0,107.2,114.3,-7.1,0.543,284.1,0.32926829268292684,1,0.042682926829268296,0.03429314652175033
264,Kyle Lowry,Miami Heat,PG,37,28.0,2.8,6.5,0.426,1.7,4.4,0.385,0.9,1.1,0.833,0.7,2.8,3.5,4.0,1.1,0.4,1.4,2.5,8.2,46,36,1.76,114.0,112.2,1.8,0.578,184.8,0.5609756097560976,1,0.042682926829268296,0.06624828423608911
265,Kyle Lowry,Philadelphia 76ers,PG,23,28.4,2.6,5.9,0.444,1.6,3.9,0.404,1.2,1.4,0.848,0.4,2.4,2.8,4.6,0.9,0.3,1.4,2.3,8.0,47,35,3.05,116.9,113.8,3.1,0.574,203.9,0.573170731707317,1,0.03414634146341463,0.061962463665833314
266,Walker Kessler,Utah Jazz,C,64,23.3,3.6,5.5,0.654,0.1,0.3,0.211,0.9,1.5,0.602,2.6,4.9,7.5,0.9,0.5,2.4,1.0,2.1,8.1,31,51,-4.89,115.5,120.4,-4.9,0.579,194.4,0.3780487804878049,1,0.09146341463414634,0.04676678711231557
267,Moses Moody,Golden State Warriors,SG,66,17.5,2.9,6.4,0.462,1.1,3.0,0.36,1.1,1.4,0.785,1.0,2.0,3.0,0.9,0.6,0.4,0.7,1.4,8.1,46,36,2.61,117.8,115.2,2.6,0.586,147.6,0.5609756097560976,1,0.036585365853658534,0.06122347808843943
268,Nickeil Alexander-Walker,Minnesota Timberwolves,SG,82,23.4,2.9,6.6,0.439,1.6,4.1,0.391,0.6,0.8,0.8,0.4,1.6,2.0,2.5,0.8,0.5,0.9,1.7,8.0,56,26,6.45,115.6,109.0,6.6,0.594,142.5,0.6829268292682927,1,0.024390243902439025,0.07385537013264869
269,Sam Merrill,Cleveland Cavaliers,SG,61,17.5,2.6,6.4,0.402,2.3,5.8,0.404,0.4,0.5,0.929,0.4,1.6,2.0,1.8,0.3,0.1,0.3,1.2,8.0,48,34,2.41,115.2,112.7,2.5,0.586,160.0,0.5853658536585366,1,0.024390243902439025,0.06140243902439024
270,Derrick Rose,Memphis Grizzlies,PG,24,16.6,3.2,6.9,0.461,0.6,1.7,0.366,1.0,1.1,0.889,0.3,1.6,1.9,3.3,0.3,0.1,1.3,0.9,8.0,27,55,-7.0,107.2,114.3,-7.1,0.543,284.1,0.32926829268292684,1,0.023170731707317073,0.03985628557447137
271,Dario Saric,Golden State Warriors,C,64,17.2,2.8,6.1,0.466,1.2,3.1,0.376,1.2,1.5,0.849,1.1,3.3,4.4,2.3,0.5,0.2,1.2,1.8,8.0,46,36,2.61,117.8,115.2,2.6,0.586,147.6,0.5609756097560976,1,0.05365853658536586,0.07014673805274638
272,Trayce Jackson-Davis,Golden State Warriors,PF,68,16.6,3.4,4.9,0.702,0.0,0.0,0.0,1.1,1.9,0.561,2.0,3.0,5.0,1.2,0.4,1.1,0.7,1.6,7.9,46,36,2.61,117.8,115.2,2.6,0.586,147.6,0.5609756097560976,1,0.06097560975609756,0.062066230418401744
273,Dante Exum,Dallas Mavericks,PG,55,19.8,2.9,5.5,0.533,1.0,2.0,0.491,1.0,1.2,0.779,0.5,2.3,2.7,2.9,0.4,0.1,0.9,1.5,7.8,50,32,2.21,117.6,115.4,2.2,0.592,186.4,0.6097560975609756,1,0.032926829268292684,0.05758007955616037
274,Markelle Fultz,Orlando Magic,PG,43,21.2,3.6,7.6,0.472,0.1,0.4,0.222,0.5,0.8,0.697,1.3,1.9,3.2,2.8,1.0,0.3,1.2,1.5,7.8,47,35,2.02,113.4,111.3,2.1,0.577,138.1,0.573170731707317,1,0.03902439024390244,0.07703855459988343
275,Isaiah Hartenstein,New York Knicks,C,75,25.3,3.1,4.9,0.644,0.0,0.0,0.333,1.5,2.1,0.707,3.3,5.1,8.3,2.5,1.2,1.1,1.2,2.8,7.8,50,32,4.59,118.2,113.4,4.8,0.574,193.4,0.6097560975609756,1,0.10121951219512196,0.05378086614371832
276,Jordan Hawkins,New Orleans Pelicans,SG,67,17.3,2.6,6.8,0.382,1.6,4.4,0.366,1.0,1.2,0.838,0.4,1.8,2.2,1.0,0.3,0.1,0.6,1.1,7.8,49,33,4.41,117.4,112.9,4.5,0.591,155.0,0.5975609756097561,1,0.02682926829268293,0.05694728560188828
278,Royce O'Neale,Brooklyn Nets,SF,49,24.5,2.6,6.6,0.388,2.0,5.4,0.366,0.3,0.4,0.682,0.8,3.7,4.5,2.8,0.7,0.6,1.0,2.4,7.4,32,50,-2.89,113.2,116.1,-2.9,0.561,174.2,0.3902439024390244,1,0.054878048780487805,0.05886841589426227
279,Royce O'Neale,Phoenix Suns,SF,30,25.1,2.9,7.1,0.411,2.0,5.2,0.376,0.3,0.4,0.692,0.7,4.5,5.2,2.7,0.9,0.5,0.7,1.8,8.1,49,33,3.06,117.6,114.6,3.0,0.603,164.5,0.5975609756097561,1,0.06341463414634146,0.06603899473645192
280,RaiQuan Gray,San Antonio Spurs,PF,3,13.0,3.3,5.7,0.588,1.0,2.3,0.429,0.0,0.0,0.0,0.7,1.7,2.3,2.0,0.3,0.3,0.3,0.0,7.7,22,60,-6.49,110.0,116.4,-6.4,0.563,165.1,0.2682926829268293,1,0.028048780487804875,0.05892216099629197
281,Nikola Jovic,Miami Heat,PF,46,19.5,2.8,6.1,0.452,1.4,3.5,0.399,0.7,1.0,0.702,0.5,3.6,4.2,2.0,0.5,0.3,0.9,1.8,7.7,46,36,1.76,114.0,112.2,1.8,0.578,184.8,0.5609756097560976,1,0.051219512195121955,0.052766339351705195
